ID,numer_examined,number_positive,prevalence,dist_to_water,dist_to_roads,dist_to_railroads,lng,lat,ntl_2013
42736,18,16,0.8888888888888888,82261.92236775125,2725.329196696286,51109.542573046456,33.601392,2.511105,0
65690,9,9,1,9544.849674094909,1046.2949634505183,1008.8279409294394,32.553927,0.285922,52.49478114130774
70860,3,3,1,55078.90317259009,1029.3463555977673,334.06142705910054,32.288053,2.768075,13.234567279642846
80314,4,4,1,26477.319894295044,13443.884995556358,41747.60000971278,31.248821,3.200673,0
87492,5,5,1,14360.865076950968,492.46039241297007,8665.211237165615,32.555084,0.381679,44.74148274078241
95846,16,15,0.9375,218534.13168731343,464.22690669334503,199843.84053778357,34.224891,3.719369,0
96273,12,11,0.9166666666666666,88460.53558283593,1179.485406398487,117635.41192946427,34.993543,1.863445,0
110471,4,4,1,55314.37081465773,4670.171994321194,6030.131053109779,34.213475,1.077355,4.849055648823866
122984,17,14,0.8235294117647058,107831.4956023657,5430.359092142027,133484.68305773608,34.599746,2.567598,0
123576,11,11,1,65948.68740765778,52.81155063460051,44227.77491111172,30.958992,3.408858,1.0307423934617872
128587,6,6,1,16959.144728826668,1459.621100974832,10747.079083653842,32.750749,0.431072,4.66187970534104
134124,14,13,0.9285714285714286,205790.81756870967,4153.031548966048,174000.798917685,33.91653,3.630393,0
140353,17,14,0.8235294117647058,112495.13152153367,6149.997673724321,141744.58444184184,34.717003,2.552455,0
140665,7,6,0.8571428571428571,17945.80199565576,8053.088275983868,37123.06120062295,31.266031,3.071358,0
142376,5,5,1,55575.948575455805,420.59155898812134,1153.7982320599208,32.266599,2.773405,5.544855017530734
144588,2,2,1,218409.81482380524,5565.023797307865,180020.1091364729,33.749376,3.760143,0
149997,17,17,1,202766.4280445665,2305.8295832003955,183231.68853981528,34.154238,3.585911,0
151447,19,18,0.9473684210526315,61270.07099414054,2831.0620132865424,77381.63088223225,34.757981,1.480831,0
156604,5,5,1,48867.84563113086,197.74282465982694,1513.5249568007907,31.006655,2.811818,0
158773,10,10,1,208330.18968146553,4180.50427609309,185547.10593620362,34.106795,3.642466,0
162375,10,10,1,179298.89633880867,2561.635028959153,164236.85478349714,34.153579,3.371513,0
171096,4,4,1,15856.342326638232,1586.8047349130134,77324.1292830713,31.800388,3.395622,0
174225,14,13,0.9285714285714286,88478.96456803112,100.60235149614665,103967.77107129556,34.327921,2.482738,0
188325,9,8,0.8888888888888888,142902.8728062038,447.5605077855731,132795.3668048189,34.12399,3.042852,0
191914,7,7,1,199867.64057698805,9124.171233102728,173309.9257200625,34.006981,3.573968,0
201635,9,8,0.8888888888888888,48459.80340688517,593.2407342645843,146.2921211642131,34.152051,1.08188,7.789044848609652
204708,7,6,0.8571428571428571,9471.579886799937,1633.2935438393106,3848.41321230438,32.585783,0.350017,58.02906678390269
206068,10,10,1,134514.3374968047,361.15030710251517,126771.81463454984,34.137801,2.963157,0
206514,6,6,1,28980.432458381674,2108.693463651751,2160.5538699748436,33.530474,0.713404,0
208629,12,12,1,28029.624931886156,1828.8946787034197,25896.022799201433,33.770965,0.57399,1.3043093477047742
209474,1,1,1,36382.80453095842,471.24274091153256,5033.600935006988,32.875979,2.228482,7.45235074002855
210070,14,10,0.7142857142857143,19252.965613269334,594.5016721360673,5417.57283702431,33.714701,0.870756,0
212230,6,6,1,191.0197223691592,1385.137218453607,1786.3945582998017,31.485369,2.453873,0
219035,6,5,0.8333333333333334,18372.185796714653,1366.764236370749,67129.79195959131,31.318073,-0.364611,1.8258186972720722
226863,10,8,0.8,2253.9814989293195,1111.1367005910317,584.3085292727804,32.632625,0.304866,40.59671258954492
234351,7,7,1,24837.13343900168,16107.36051799282,60246.97709100009,31.805115,3.221716,0
235482,10,10,1,2054.919374197713,1622.0608022882611,2848.6576569936487,32.65447,0.320293,27.416156698601142
239152,11,9,0.8181818181818182,15908.47220637211,8642.23112599135,39032.0654231351,31.284616,3.070577,0
244579,5,5,1,41481.0177978087,1079.9684731025018,35088.74505776813,30.992024,2.432313,0
258155,6,4,0.6666666666666666,26772.21496594175,527.8040004978345,79215.50700011072,30.134746,-0.547324,8.185996113255896
260523,14,14,1,203141.37744248763,404.20757554072094,180725.2674630559,34.098312,3.596187,0
269901,5,4,0.8,17421.897336396054,768.508705477941,3038.053717776376,32.496492,0.337865,18.00912490669013
273033,8,8,1,34427.97303641971,521.211322260612,22835.92102418928,31.102504,2.489716,0
273541,14,14,1,18740.356612920474,1096.6899966469216,68191.68731686534,31.332236,-0.377111,1.9536306934191872
275476,3,3,1,37968.00314677363,145.42716829559023,2585.1250416990915,32.889514,2.248977,11.447349877779892
281709,5,4,0.8,88034.8024063139,1767.8209332136594,116842.83015282528,34.565053,2.385044,0
288801,19,18,0.9473684210526315,89847.43832549058,8357.515532741769,74712.14709188131,33.862203,2.580898,0
290371,12,12,1,12360.411772372667,454.64529842422456,64.12779726445225,30.078548,0.176507,10.615778465694714
295031,8,8,1,2381.8488968310276,898.544287839053,1041.1699122759217,31.472366,2.473168,0
296068,6,6,1,9260.80060691953,3166.174119105955,4247.486969015111,32.616645,0.373567,46.41031213224755
310034,9,9,1,185919.6456347065,5835.830228904507,165656.93984261074,34.084256,3.441067,0
316208,2,2,1,5915.380193306385,99.00863662742879,1101.165628378399,32.65096,0.356375,48.87696802180916
321100,17,16,0.9411764705882353,20553.554745598965,391.2164672519892,4246.077097970852,33.692326,0.841287,0
335707,12,11,0.9166666666666666,34516.981919810365,13367.031877660958,63849.648413664734,34.266687,1.985783,0
